Version,N_Features,MAE,RMSE,R2
Original (all features),18,0.3419411315639276,1.0530384535852617,0.9990089718698826
3 PCA Components,3,2.4939434931506854,5.000968941443516,0.9776485431314631
11 PCA Components (95% var),11,1.5477285102739726,3.0588811725172693,0.991637757960105
