Version,N_Features,MAE,RMSE,R2
Original (all features),18,0.3420464540525121,1.0531145872798306,0.99900882856389
3 PCA Components,3,2.4939434931506854,5.000968941443516,0.9776485431314631
11 PCA Components (95% var),11,1.5477285102739726,3.0588811725172693,0.991637757960105
